date,mktrf,smb,hml,rmw,cma,rf,umd,r_f,r_mkt,r_me,r_ia,r_roe,r_eg
2010/01/03,-0.0099,-0.0017,0.0039,-0.0047,0.0017,0.0,0.0003,0.0003,-0.8664,-0.0883,0.1901,-0.0024,-0.0776
2010/01/10,0.0033,0.0032,0.0001,0.0022,-0.0037,0.0,0.002,0.0001,0.416,0.2017,-0.4278,-0.1254,0.0851
2010/01/17,-0.0112,-0.0019,-0.0039,0.0061,-0.0015,0.0,-0.0052,0.0001,-1.1324,-0.2926,-0.0268,0.419,0.2474
2010/01/24,-0.0214,0.0051,-0.0089,0.0046,0.0,0.0,-0.0158,0.0001,-2.099,0.2744,0.0938,0.1175,-0.4539
2010/01/31,-0.0097,-0.0008,-0.0042,-0.002,0.0018,0.0,-0.0124,0.0001,-1.0283,0.0259,0.3848,0.215,-0.2583
2010/02/07,0.0029,-0.0006,0.0001,-0.0064,-0.0016,0.0,0.0005,0.0001,0.2659,-0.0373,-0.206,-0.0163,0.0036
2010/02/14,-0.0007,0.0097,0.0015,-0.002,0.0027,0.0,0.0052,0.0001,-0.0658,0.8896,0.0817,-0.2435,0.0293
2010/02/21,0.0028,0.0009,0.0048,-0.0024,-0.0002,0.0,-0.0022,0.0001,0.2455,-0.0449,-0.0449,-0.6554,-0.1699
2010/02/28,0.0013,-0.0042,0.0042,0.0009,-0.0003,0.0,0.0042,0.0001,0.1846,-0.2313,0.0281,0.0602,-0.1768
2010/03/07,0.0143,0.0052,0.0063,-0.0017,0.0025,0.0,0.0088,0.0003,1.4479,0.617,0.2209,-0.2517,-0.3796
2010/03/14,-0.0002,0.0001,-0.0026,0.0051,-0.0009,0.0,0.0028,0.0003,0.074,-0.0643,-0.1646,0.1179,-0.1986
2010/03/21,-0.0062,-0.0065,-0.0062,0.0004,-0.005,0.0,-0.0152,0.0003,-0.689,-0.6644,-0.317,0.2808,0.3039
2010/03/28,0.0006,-0.0008,0.0026,0.0004,0.0013,0.0,0.0035,0.0003,0.0646,-0.1725,0.1033,-0.1165,-0.2005
2010/04/04,0.0075,0.0007,0.0079,0.0013,0.0038,1e-05,0.0064,0.0005,0.8643,-0.0002,0.3728,-0.4311,-0.2803
2010/04/11,0.0066,-0.0015,0.0015,0.0027,0.0022,1e-05,0.0008,0.0005,0.6691,-0.0935,0.1304,0.0036,-0.0872
2010/04/18,-0.0153,0.005,-0.0188,0.0108,-0.0025,1e-05,-0.008,0.0005,-1.6109,0.0171,-0.1467,0.4058,0.237
2010/04/25,0.007,0.0037,0.0059,-0.0006,0.0016,1e-05,0.0024,0.0005,0.7437,0.0693,0.0483,-0.6927,-0.318
2010/05/02,-0.0172,-0.0109,-0.0088,0.0037,-0.0054,1e-05,-0.0112,0.0005,-1.6839,-1.4359,-0.3933,-0.2726,0.2521
2010/05/09,-0.0175,-0.0134,-0.005,0.0021,-0.0019,1e-05,-0.0114,0.0006,-1.5846,-1.1369,-0.5165,0.8568,0.7828
2010/05/16,-0.0192,-0.0034,-0.0076,0.004,-0.0029,1e-05,-0.0129,0.0006,-1.9396,-0.5322,-0.3584,0.3695,0.4369
2010/05/23,0.0144,-0.0021,0.0158,-0.0079,0.0012,1e-05,0.0151,0.0006,1.5277,0.1503,0.1834,-0.0867,-0.6044
2010/05/30,-0.0118,0.0004,-0.0068,0.0035,-0.0001,1e-05,-0.0032,0.0006,-1.1754,-0.0984,-0.2539,0.1705,-0.181
2010/06/06,-0.0362,-0.013,-0.0067,0.0009,-0.0025,1e-05,-0.0131,0.0006,-3.587,-1.0734,-0.2411,0.385,0.5136
2010/06/13,0.0062,0.0094,0.0005,-0.0011,0.0006,1e-05,0.0059,0.0006,0.6181,0.7818,-0.1222,-0.3387,-0.4088
2010/06/20,0.0013,-0.0002,0.0024,-0.002,-0.0014,1e-05,-0.0009,0.0006,0.1701,0.0679,-0.1167,0.0552,0.1126
2010/06/27,0.0048,0.0121,0.0107,-0.0121,-0.0024,1e-05,0.0064,0.0006,0.6047,1.3821,-0.4571,-0.9482,-0.8004
2010/07/04,-0.005,-0.0033,-0.0044,0.0011,-0.0037,1e-05,-0.0071,0.0007,-0.4755,-0.331,-0.3247,0.241,0.2977
2010/07/11,0.0081,0.0069,0.0061,-0.0064,0.0048,1e-05,0.0057,0.0007,0.8897,0.857,0.3278,-0.2297,-0.2937
2010/07/18,-0.0294,-0.0062,-0.0092,0.0095,-0.0069,1e-05,-0.0104,0.0007,-2.854,-0.8817,-0.7689,0.3507,0.5185
2010/07/25,0.0105,0.0138,-0.0031,-0.0031,0.0048,1e-05,0.0055,0.0007,0.9622,1.3304,0.2223,-0.5839,-0.1591
2010/08/01,0.0006,0.0008,-0.0021,-0.0005,0.0002,1e-05,0.0018,0.0007,0.1512,0.0323,0.1257,-0.1312,-0.1633
2010/08/08,-0.0036,-0.0019,-0.0037,0.001,-0.0024,1e-05,-0.0006,0.0006,-0.3553,-0.2645,-0.1634,-0.1182,0.3331
2010/08/15,-0.0047,-0.0077,0.0024,-0.0019,0.0002,1e-05,-0.0007,0.0006,-0.3878,-0.7239,-0.0323,-0.1289,-0.1301
2010/08/22,-0.0028,0.0024,-0.0023,-0.0016,-0.002,1e-05,0.0014,0.0006,-0.3317,0.2491,-0.2087,-0.1782,0.226
2010/08/29,0.0182,0.0095,0.0036,-0.0091,0.0019,1e-05,0.0048,0.0006,1.8441,1.0053,0.1197,-0.329,-0.5044
2010/09/05,0.0135,0.0036,0.0023,-0.0022,0.0017,1e-05,0.0014,0.0006,1.2969,0.5321,0.2844,0.1765,0.0357
2010/09/12,0.0045,-0.0007,-0.0016,0.0018,-0.0001,1e-05,0.0007,0.0006,0.4482,-0.1192,-0.0573,-0.1535,-0.3332
